 pm25, pm10, o3, no2, so2, co,AQI
185,103,39,7,4,7,185
180,54,23,4,5,4,180
112,45,20,3,2,4,112
92,40,16,4,6,4,92
82,31,18,4,6,4,82
70,40,22,6,6,4,70
83,89,24,6,6,5,89
111,62,26,4,5,4,111
110, ,23,3,5,4,110
114, ,23,4,4,5,114
40,24,18,3,3,3,40
49,20,15,4,3,3,49
45,26,15,3,3,3,45
48,11,13,3,5,2,48
33,12,13,1,4,2,33
34,14,12,2,4,2,34
39,6,11,1,4,3,39
22,12,14,1,4,2,22
41,11,12,1,5,2,41
37,14,10,1,3,2,37
29, , , , , ,29
45,16,11,2,3,6,45
38,22,12,1,3,5,38
41,19,15,1,3,5,41
35,11,11,2,3,6,35
24,7,10,3,3,7,24
18,31,13,3,9,5,31
34,21,21,3,6,7,34
44,14,16,2,6,6,44
34,8,11,3,6,6,34
24,9,15,3,6,6,24
30,17,13,3,6,6,30
37,13,15,4,6,6,37
29,9,8,3,3,5,29
34,12,18,4,3,3,34
41,17,15,4,3,3,41
46,14,10,3,3,3,46
38,18,12,3,3,3,38
38,26,18,3,4,3,38
69,35,21,3,5,3,69
88,23,21,4,5,3,88
62,14,23,3,5,4,62
44,21,15,4,3,4,44
54,10,14,3,3,4,54
28,8,13,1,3,3,28
21,6,10,1,2,3,21
19,4,9,1,3,3,19
13,9,9,1,4,3,13
24,17,13,2,4,3,24
37,16,13,2,3,3,37
30,12,11,1,4,3,30
26,14,15,1,4,3,26
20,7,7,1, ,3,20
17,9,9,2, ,3,17
21,15,19,3,7,4,21
36,18,18,3,5,4,36
37,20,20,3,6,4,37
41,13,16,2,3,3,41
35,12,18,2,5,3,35
25,13,17,2,5,3,25
23,15,14,2,6,3,23
26, , , , , ,26
14,23,18,3,3,3,23
46,27,23,3,4,4,46
55,36,16,5,2,4,55
74,33,21,3,4,4,74
79,20,10,2,2,4,79
53,10,7,2,4,4,53
28,6,9,2,4,3,28
10,4,5,2,4,3,10
12,9,9,2,3,4,12
26,30,17,3,5,3,30
72,21,17,2,2,3,72
54,19,15,3,6,3,54
51,28,13,4,6,4,51
70,15,6,6,2,4,70
39,17,7,4,3,4,39
52,8,16,3,5,3,52
23,6,11,1,4,2,23
17,16,14,2,5,3,17
28,23,15,2,6,3,28
41,26,13,3,5,4,41
50,24,13,4,6,4,50
46,20,12,3,6,4,46
35,16,18,2,6,3,35
25,21,22,2,6,4,25
36,27,4,6,5,4,36
44,22,22,4,5,4,44
41,32,28,3,6,4,41
63,30,22,3,5,4,63
63,26,24,3,5,4,63
53,31,28,3,4,4,53
63,37,30,4,5,4,63
69,41,22,6,6,5,69
80,27,25,4,5,4,80
69,27,16,4,6,4,69
62,15,18,3,2,4,62
32,26,18,3,3,4,32
62,19,21,4,3,4,62
47,30,22,6,7,3,47
45,27,17,6,6,3,45
42,18,10,6,3,3,42
16,14,10,6,6,3,16
15,27,16,7,6,3,27
33,33,17,6,6,3,33
48,22,11,6,6,3,48
31,9,11,6,7,3,31
4,11,11,7, ,3,11
6,11,11,7,4,3,11
8,14,13,6,4,3,14
20,14,16,8,4,3,20
15,12,12,6,4,3,15
17,29,23,2,4,3,29
56,24,18,5,4,3,56
45,23,21,6,4,3,45
43,21,16,6,4,3,43
34,28,19,6,4,3,34
51,32,25,6,4,3,51
62,26,12,6,4,3,62
52,16,11,6,5,3,52
27,16,12,6,4,3,27
21,30,25,7,4,3,30
41,39,22,6,4,3,41
54,42,27,6,4,3,54
61,31,16,6,4,3,61
43,30,17,6,4,3,43
48,45,30,7,4,4,48
76,46,33,6,4,4,76
82,51,31,6,4,4,82
93,49,30,6,4,4,93
89,47,21,1,4,4,89
83,50,21,3,4,4,83
87,51,25,2,5,4,87
101,54,26,3,5,4,101
89,58,40,5,5,4,89
100,51,28,3,5,4,100
92,56,34,7,4,4,92
109,28,28,4,5,3,109
50,27,20,6,5,4,50
52,24,30,3,5,3,52
55,28,31,3,4,4,55
61,23,32,2,5,4,61
58,48,32,2,5,4,58
93,37,27,2,5,3,93
75,32,24,2,4,4,75
75,31,22,2,4,3,75
71,22,23,2,4,4,71
51,26,25,2,4,4,51
55,51,43,2,4,3,55
86,72,35,2,4,2,86
93,65,35,3,4,3,93
72,64,36,3,4,3,72
85,48,37,3,4,3,85
83,60,36,3,4,4,83
93,71,36,4,4,4,93
110,72,46,3,4,3,110
100,66,41,2,4,3,100
85,61,40,3,4,3,85
96,55,48,3,4,3,96
86,52,57,4,4,4,86
96,63,64,4,4,4,96
111,55,36,3,4,3,111
90,52,42,2,4,3,90
94,53,36,3,4,4,94
104,38,25,3,4,4,104
95,41,38,3,4,4,95
86,49,37,2,4,3,86
85,37,39,2,4,3,85
73,18,23,2,4,2,73
38,16,20,1,4,2,38
37,11,21,1,4,2,37
28,13,27,3,4,3,28
37,15,33,3,4,3,37
45,10,29,2,4,2,45
30,20,25,3,4,3,30
53,25,26,4,4,3,53
71,20,19,3,4,3,71
60,21,21,4,4,3,60
54,17,17,2,4,2,54
51,13,17,3,4,3,51
40,15,20,4,4,3,40
40,10,20,2,4,3,40
24,10,14,4,4,3,24
27,8,18,2,4,3,27
27,15,13,3,4,3,27
34,16,12,3,4,3,34
39,19,12,3,4,3,39
49,21,16,2,4,3,49
52,13,18,1,5,2,52
37,17,21,3,4,3,37
154,75,32,8,11,5,154
160,62,31,9,8,4,160
139,53,27,6,10,4,139
120,45,22,7,9,3,120
100,53,26,7,8,5,100
114,59,27,4,8,5,114
134,34,18,7,5,4,134
80,33,16,5,4,5,80
75,27,13,6,9,6,75
65,23,16,6,6,8,65
57,30,21,5,6,7,57
78,28,25,4,6,7,78
70,36,32,4,4,9,70
85,51,32,7,5,6,85
121,63,34,8,11,10,121
148,69,38,10,8,10,148
154,69,42,9,7,8,154
155,66,42,9,10,8,155
146,66,40,7,6,8,146
142,67,38,4,8,7,142
137,83,35,5,9,6,137
144,156,38,7,12,6,156
154, , , , , ,154
145,78,41,6,11,8,145
110,83,39,12,15,8,110
132,83,48,9,6,10,132
145,86,41,11,19,9,145
156,65,44,5,5,8,156
136,48,40,5,8,6,136
94,28,26,3,8,5,94
62,44,39,6,9,5,62
84,91,42,9,10,4,91
134,79,42,5,7,6,134
118,71,44,5,5,6,118
114,64,30,6,5,6,114
110,58,30,5,5,5,110
105,59,29,6,10,5,105
112,63,28,7,4,7,112
125,65,26,7,9,74,125
124,68,33,6,6,4,124
146,67,37,6,7,4,146
143,62,35,6,9,3,143
131,63,36,7,5,3,131
134,63,32,6,7,3,134
137,60,54,4,9,3,137
132,64,39,7,7,3,132
140,63,23,9,5,3,140
147,64,33,8,7,6,147
141,49,24,4,7,5,141
97,37,19,5,3,102,102
69,32,22,5,7,38,69
69,41,24,7,7,3,69
77,42,21,7,6,4,77
84,41,21,6,4,3,84
77,38,25,7,8,3,77
68,35,25,7,7,3,68
65,37,26,8,7,3,65
64,55,29,9,8,3,64
91,55,26,7,7,3,91
95,56,25,8,7,3,95
103,54,26,7,7,4,103
100,53,27,9,7,4,100
88,61,34,8,9,5,88
120,60,34,7,7,4,120
120,64,37,8,8,4,120
123,65,38,9,8,5,123
121,62,36,8,7,4,121
107,65,40,9,9,4,107
115,70,40,10,7,5,115
124,69,40,10,9,4,124
120,67,40,9,10,4,120
120,68,42,8,10,4,120
123,42,24,5,6,3,123
71,37,19,6,6,3,71
69,47,28,3,8,4,69
91,62,30,6,7,4,91
112,65,28,8,8,4,112
130,63,23,6,7,4,130
131,53,20,6,6,4,131
95,45,12,6,5,3,95
70,45,17,6,7,3,70
71,48,19,7,8,3,71
78,43,17,6,8,3,78
69,44,20,3,9,3,69
71,44,23,7,7,3,71
70,37,22,6,8,3,70
62,31,22,6,8,3,62
47,12,11,3,9,3,47
9,10,9,1,4,3,10
8,15,13,4,9,3,15
21,20,8,5,7,3,21
22,14,7,4,10,3,22
11,45,10,5,11,3,45
33,31,15,6,10,4,33
64,18,22,7,8,4,64
43,50,23,7,12,4,50
89,70,23,8,11,5,89
113,69,29,7,10,5,113
111,85,27,6,8,5,111
138,74,30,8,11,5,138
140,55,24,7,10,5,140
116,51,20,6,8,5,116
109,27,17,6,9,3,109
51,51,31,7,9,5,51
89,69,31,4,9,6,89
127,72,28,9,12,6,127
129,74,27,9,10,6,129
133,65,27,9,10,5,133
117,71,27,11,19,5,117
120,42,22,7,8,4,120
71,54,26,8,11,4,71
91,76,25,10,11,4,91
125,77,27,10,10,4,125
137,74,23,11,9,5,137
146,46,18,9,9,5,146
98,29,11,9,9,4,98
42,26,12,8,11,4,42
40,24,12,7,9,4,40
46,17,10,4,9,4,46
35,24,15,5,8,4,35
38,32,13,4,8,3,38
64,42,20,4,8,4,64
91,71,24,5,9,5,91
152,81,23,5,11,6,152
163,75,28,6,13,5,163
154,78,26,8,12,5,154
151,85,23,12,12,7,151
154,64,14,7,8,6,154
129,11,8,4,8,4,129
14,13,8,5,4,3,14
17,11,8,3,4,3,17
9,16,7,4,8,3,16
34,19,8,4,7,4,34
37,32,15,3,8,3,37
64,40,15,6,9,5,64
86,35,13,5,8,4,86
79,15,11,4,8,3,79
37,15,8,4,8,4,37
30,18,12,5,7,4,30
23,24,10,6,11,5,24
45,27,13,4,8,4,45
53,55,20,8,8,6,55
112,64,19,9,5,4,112
130,62,17,8,8,4,130
134,75,26,4,10,5,134
161,72,25,8,9,6,161
157,71,30,8,10,6,157
151,73,35,7,11,6,151
156,73,31,11,10,7,156
154,63,22,10,9,5,154
134,57,22,7,8,5,134
124,52,23,8,10,4,124
100,39,18,5,16,4,100
64,36,22,6,12,5,64
66,50,35,5,11,4,66
89,41,24,6,9,5,89
73,36,28,6,9,4,73
66,42,31,5,9,5,66
80,40,29,5,9,5,80
82,68,35,6,10,4,82
145,73,28,6,8,6,145
159,78,30,9,10,5,159
161,81,26,11,11,4,161
161,85,30,12,13,5,161
163,82,28,11,13,6,163
155,80,31,7,11,6,155
161,98,31,10,18,6,161
172,83,31,10,10,6,172
163,100,29,11,19,6,163
182,104,31,12,10,8,182
189,99,29,9,8,8,189
190,82,28,7,9,7,190
170,73,28,5,7,5,170
153,81,25,9,8,5,153
165,71,24,9,8,5,165
150,61,22,7,7,6,150
129,62,25,7,8,5,129
140,60,24,8,6,4,140
129,54,27,7,9,4,129
124,65,29,7,10,5,124
152,67,25,7,10,5,152
45,17,11,4,9,3,45
36,25,17,4,6,2,36
36,27,17,4,7,3,36
45,36,22,4,9,3,45
61,28,21,4,10,3,61
55,35,19,4,8,4,55
67,17,19,4,8,3,67
37,21,15,4,8,4,37
44,19,13,4,7,3,44
40,17,8,3,7,3,40
35,19,7,5,8,4,35
36,18,9,3,8,2,36
31,10,9,2,8,3,31
14,8,10,2,7,3,14
14,11,11,2,8,3,14
18,10,14,3,10,3,18
20,17,13,4,8,3,20
27,9,12,2,8,3,27
7,16,11,2,8,2,16
21,12,8,2,8,2,21
18,12,11,2,7,3,18
26,18,14,3,8,2,26
21,22,12,2,8,3,22
31,22,10,2,8,3,31
32,23,10,3,8,3,32
31,27,10,3,9,2,31
35,20,10,3,8,2,35
23,23,11,3,8,3,23
34,23,11,2,8,3,34
33,21,9,2,9,2,33
32,19,11,2,8,2,32
22,23,11,2,9,3,23
30,25,12,3,8,2,30
29,19,11,3,8,3,29
21,24,11,2,9,2,24
24,33,14,3,8,3,33
40,45,16,5,5,4,45
62,29,18,4,8,5,62
52,34,18,4,7,4,52
60,37,20,4,9,4,60
61,29,18,3,8,4,61
39,24,14,4,9,4,39
41,21,14,3,9,3,41
39,20,15,3,7,3,39
40,22,17,4,7,4,40
35,12,10,4,11,4,35
26,14,12,3,9,3,26
29,20,12,3,8,3,29
45,22,13,3,8,3,45
37,35,12,4,7,4,37
53,24,11,3,7,4,53
46,30,17,3,7,3,46
58,36,18,3,10,4,58
73,45,19,3,12,4,73
93,36,22,3,9,4,93
70,12,16,3,8,3,70
20,14,15,3,7,3,20
22,16,9,6,9,3,22
20,18,14,3,7,3,20
37,20,14,2,7,4,37
46,31,10,4,8,4,46
57,29,11,5,8,4,57
56,40,14,5,9,4,56
63,18,16,3,9,3,63
34,15,13,3,7,3,34
26,12,17,3,9,3,26
18,9,11,3,9,4,18
16,13,11,3,10,3,16
21,21,12,4,7,4,21
32,19,13,3,7,3,32
18,29,12,3,8,4,29
34,26,9,3,7,3,34
39,21,11,3,7,3,39
29,15,10,3,8,3,29
19,26,13,3,9,3,26
33,42,12,3,8,4,42
47,52,16,5,10,4,52
60,59,18,4,9,4,60
69,46,22,3,9,4,69
65,30,18,3,8,3,65
53,23,18,3,8,2,53
45,13,17,4,9,2,45
22,12,17,4,8,4,22
20,15,17,3,15,2,20
27, , , , , ,27
28,22,13,4,10,3,28
38,27,16,5,8,3,38
39,24,14,6,9,5,39
46,27,15,4,9,3,46
113,84,37,5,11,4,113
